UnixTime,Row,QuestionKey,Timestamp,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Packet reception rate RAW
1680003145.7000372,88,,2023-03-28 17:02:25.700037,48227.0,13841692.0,376773.4375,1680003145738.2195,2517.0,3665.7846153846153,20060.0,65.43427426089862,15.282510752894028,87.0
1680003145.7078495,89,,2023-03-28 17:02:25.707850,48228.0,13841948.0,376781.25,1680003145746.032,2531.0,3686.174358974359,20061.0,65.41242277508766,15.287615984480096,87.0
1680003145.7156622,90,,2023-03-28 17:02:25.715662,48229.0,13842204.0,376789.0625,1680003145753.8445,2522.0,3673.0666666666657,20060.0,65.43427426089862,15.282510752894028,87.0
1680003145.7234747,91,,2023-03-28 17:02:25.723475,48230.0,13842460.0,376796.875,1680003145761.657,2508.0,3652.6769230769214,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.7312872,92,,2023-03-28 17:02:25.731287,48231.0,13842716.0,376804.6875,1680003145769.4695,2518.0,3667.2410256410258,20059.0,65.4561403508772,15.277405521307958,87.0
1680003145.7390995,93,,2023-03-28 17:02:25.739100,48232.0,13842972.0,376812.5,1680003145777.282,2500.0,3641.0256410256407,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.7469122,94,,2023-03-28 17:02:25.746912,48233.0,13843228.0,376820.3125,1680003145785.0945,2519.0,3668.6974358974353,20060.0,65.43427426089862,15.282510752894028,87.0
1680003145.7547247,95,,2023-03-28 17:02:25.754725,48234.0,13843484.0,376828.125,1680003145792.907,2510.0,3655.589743589743,20060.0,65.43427426089862,15.282510752894028,87.0
1680003145.7625372,96,,2023-03-28 17:02:25.762537,48235.0,13843740.0,376835.9375,1680003145800.7195,2515.0,3662.8717948717945,20059.0,65.4561403508772,15.277405521307958,87.0
1680003145.7703495,97,,2023-03-28 17:02:25.770350,48236.0,13843996.0,376843.75,1680003145808.532,2525.0,3677.4358974358975,20059.0,65.4561403508772,15.277405521307958,87.0
1680003145.7781622,98,,2023-03-28 17:02:25.778162,48237.0,13844252.0,376851.5625,1680003145816.3445,2522.0,3673.0666666666657,20059.0,65.4561403508772,15.277405521307958,87.0
1680003145.7859747,99,,2023-03-28 17:02:25.785975,48238.0,13844508.0,376859.375,1680003145824.157,2510.0,3655.589743589743,20060.0,65.43427426089862,15.282510752894028,87.0
1680003145.7937872,100,,2023-03-28 17:02:25.793787,48239.0,13844764.0,376867.1875,1680003145831.9695,2520.0,3670.1538461538457,20058.0,65.47802105966908,15.27230028972189,87.0
